,x_valid,x_past_valid,x_pred,Y_1_valid,Y_2_valid,cc_1_pred,cc_1_valid,cc_2_pred,cc_2_valid
14,1.161246,0.49472916,1.109576,-0.17895882,0.96374154,-52.904728,-0.9025122622271022,0.44592154,-1.5253832796689166
15,-0.7955005,1.161246,-0.91830784,0.96374154,-1.486508,-0.12471992,0.47491742875197207,0.2444706,-1.4124201972518153
16,0.53786606,-0.7955005,0.426733,-1.486508,-1.0036983,0.104392484,0.9349991250215807,0.35118386,-0.9908037605708221
17,0.31229183,0.53786606,0.39112446,-1.0036983,0.25560883,0.057710916,-0.06005056573874492,0.34173757,0.276944091464585
18,0.016764684,0.31229183,0.118934736,0.25560883,0.7791901,-0.7749075,1.3687026365121682,-0.026068687,1.1824762463403233
19,1.4850981,0.016764684,1.4394805,0.7791901,-0.17759937,-0.23632091,-1.524766600747787,0.4635244,-0.8414022171587271
20,-1.3637029,1.4850981,-1.615037,-0.17759937,0.47321993,-1.1905477,-1.4236766156323757,0.26426262,0.6104026189010745
21,-0.6818448,-1.3637029,-0.6798311,0.47321993,1.1705011,-0.97351784,-1.04364858673955,0.21015847,0.696070337196071
22,0.5961081,-0.6818448,0.5567382,1.1705011,-0.87098986,-0.02295664,0.13655457123073492,0.12366563,0.522382910427193
23,-0.3883819,0.5961081,-0.5023126,-0.87098986,0.45050913,0.096658766,1.299704643114496,0.18786061,0.8537794983421232
24,1.1280009,-0.3883819,1.2189122,0.45050913,0.32818097,-0.022589386,-1.2575521986210496,0.39379126,0.1505465012848061
25,-1.3562624,1.1280009,-1.1088979,0.32818097,0.100026056,0.014015436,-0.47945391209311783,0.1938132,1.2879691339540336
26,-0.6727775,-1.3562624,-0.6580021,0.100026056,1.1629378,-14.138079,1.1648408431550032,0.20071352,-1.2219203781720702
27,0.84771293,-0.6727775,0.83525497,1.1629378,-1.4707149,0.0026277006,-0.7726115267870698,0.33205986,-0.3582458804014485
28,-0.95516866,0.84771293,-0.7230924,-1.4707149,-1.0123998,0.14779302,0.7385039073952759,0.41927734,1.2740345122626568
29,0.3354055,-0.95516866,0.33077553,-1.0123998,0.25450101,-0.08079615,0.43529906645389,0.2614859,-1.1699261014072728
30,0.45937634,0.3354055,0.71221715,0.25450101,0.24114163,-0.047709286,0.9937841649948368,0.22139174,-0.20270839342581587
31,0.17985861,0.45937634,0.23000757,0.24114163,0.96973306,-0.70346445,-0.22863403802960539,0.11347169,1.3528578510391895
32,0.8678905,0.17985861,0.88388246,0.96973306,-0.86880994,-0.10395974,1.3442132607671298,0.23144668,-1.4709808375701565
33,0.58830386,0.8678905,0.59236926,-0.86880994,0.29475695,-0.0012309849,-1.428443451583615,0.5019799,-1.205048460059912
34,0.70679,0.58830386,0.7142445,0.29475695,0.7558399,-2.0387287,-1.060944679296614,0.36036915,-0.30697046159516533
35,-0.39668322,0.70679,-0.1926551,0.7558399,0.81353116,-1.7923214,0.09136517097868903,0.13834882,1.3072749084898874
36,0.92594576,-0.39668322,1.0093558,0.81353116,0.2751976,-0.71616334,1.324861058634774,0.25336453,-1.2948269229926084
37,0.21652603,0.92594576,0.58973116,0.2751976,0.37557966,0.018878281,-1.3534789910037226,0.5903305,-0.5886986785569984
38,0.74241114,0.21652603,0.77680975,0.37557966,0.6146349,-1.7724283,-0.7960923480006029,0.19889402,1.036530472719044
39,-0.13105302,0.74241114,-0.079413846,0.6146349,0.8405017,-1.393075,0.6942534554437401,0.1995464,-0.3647681662783592
40,0.6109647,-0.13105302,0.75663155,0.8405017,-0.33196807,-0.8182749,0.5323758464871922,0.09970546,1.2692947196613054
41,0.34118733,0.6109647,0.434845,-0.33196807,0.90057254,-0.20133775,0.8421641851276076,0.2765997,-1.1523606239048236
42,0.65784925,0.34118733,0.6043814,0.90057254,-1.0290923,0.047975063,0.18705530525032854,0.2903794,-0.15182055348906298
43,-0.67541546,0.65784925,-0.22988524,-1.0290923,0.14704219,0.1161799,1.2650252493547933,0.36335582,1.364391380723182
44,1.0478553,-0.67541546,1.0350654,0.14704219,0.8545761,-12.732361,-1.1281318260620066,0.48927957,-1.5164457951793595
45,-0.2656834,1.0478553,-0.40528128,0.8545761,-1.185232,0.1950778,-0.09188701208446433,0.78734344,-1.3778007741032696
46,0.88405067,-0.2656834,0.82301253,-1.185232,-0.054471605,0.16952722,1.3699934186110472,0.52288586,-0.8685259486473987
