,cc_pred,cc_test,x_test,x_past_test,x_pred,Y_1_test,Y_2_test
48,0.5100221,0.2817312616431586,0.7148142669128307,0.28968963910537415,0.72716326,0.34204358278137803,0.7311988432288563
49,0.14251262,0.7911747236431071,0.13482010139405934,0.7148142669128307,-1.1424966,0.7311988432288563,0.13665212668985063
50,0.25491777,0.6459603600865728,0.35691239007482267,0.13482010139405934,-0.45287177,0.13665212668985063,0.32411044371677583
51,0.05748999,0.8941454222581785,0.5275250864637755,0.35691239007482267,0.06939439,0.32411044371677583,0.40437409947098046
52,0.47282633,0.3700566394765449,0.7518510542623736,0.5275250864637755,0.8399658,0.40437409947098046,0.7096167370736095
53,0.0856393,0.9114232492077794,0.07493866805303356,0.7518510542623736,-1.3285741,0.7096167370736095,0.20639221593412413
54,0.5036119,0.3156387007627012,0.24536263282780293,0.07493866805303356,-0.85119003,0.20639221593412413,0.5400025009157874
55,0.093830556,0.8445514041336296,0.4849676517776906,0.24536263282780293,-0.07072946,0.5400025009157874,0.2586618021440383
56,0.33734137,0.5132905762779497,0.6904071267492932,0.4849676517776906,0.6194497,0.2586618021440383,0.5435783871424429
57,-0.068303734,0.9767500569891634,0.045102698810618916,0.6904071267492932,-1.4565954,0.5435783871424429,0.14006110106236963
58,0.6697128,0.08878829924005653,0.16508343395886452,0.045102698810618916,-1.129379,0.14006110106236963,0.45270494028837327
59,0.5068865,0.3163191056101889,0.4817019336525523,0.16508343395886452,-0.040796004,0.45270494028837327,0.7468005508146559
60,0.32145244,0.8455304778878674,0.502646958040927,0.4817019336525523,0.5810196,0.7468005508146559,0.2489063331171348
61,0.33428347,0.5106489800664998,0.6821067000467412,0.502646958040927,0.57849854,0.2489063331171348,0.5336282453122997
62,-0.07969952,0.9769973050703357,0.0666855534879296,0.6821067000467412,-1.3983288,0.5336282453122997,0.15810725666923506
63,0.6800558,0.08786632947580561,0.23847795094156346,0.0666855534879296,-0.90744156,0.15810725666923506,0.5000760219798079
64,0.510798,0.3133512065508806,0.6276843593302209,0.23847795094156346,0.43602756,0.5000760219798079,0.7343988064181682
65,0.090580165,0.8412332532769138,0.29686350516848836,0.6276843593302209,-0.7491158,0.7343988064181682,0.20411604483185183
66,0.32587552,0.5221873857634908,0.6396792359063935,0.29686350516848836,0.4620538,0.20411604483185183,0.46975260611852065
67,-0.03355202,0.975515976873804,0.17067248846262995,0.6396792359063935,-1.1005002,0.46975260611852065,0.25791209217635713
68,0.6521939,0.09338294514829391,0.5392578254952352,0.17067248846262995,0.11253408,0.25791209217635713,0.7125981196754285
69,0.5093828,0.33101056109003485,0.7685328296035818,0.5392578254952352,0.8898091,0.7125981196754285,0.433029113061095
70,0.08206129,0.8657878987414444,0.08566568247737205,0.7685328296035818,-1.3140613,0.433029113061095,0.3746101957814571
71,0.3828004,0.45431134937318035,0.26280901730808265,0.08566568247737205,-0.7627618,0.3746101957814571,0.6516018592774105
72,0.032821774,0.9692792301145259,0.4625965769038629,0.26280901730808265,-0.112263165,0.6516018592774105,0.10043194765818424
73,0.65207577,0.116421020296287,0.9165362615479731,0.4625965769038629,1.4328755,0.10043194765818424,0.33586753604461517
74,0.41732106,0.4021862100504114,0.1344100021899607,0.9165362615479731,-1.2848388,0.33586753604461517,0.6626832470411992
75,0.031874746,0.9400338739236792,0.3092878175641159,0.1344100021899607,-0.6500992,0.6626832470411992,0.10053755045376417
76,0.5780922,0.22039406551514093,0.7617133104763408,0.3092878175641159,0.89551276,0.10053755045376417,0.3197861503089079
77,0.24746023,0.6717774658025489,0.11038767916833811,0.7617133104763408,-1.0547761,0.3197861503089079,0.5159169608947163
78,0.08662051,0.8620733610704026,0.27464661000920654,0.11038767916833811,-0.76100105,0.5159169608947163,0.2816656104035965
79,0.37231746,0.4648820499441258,0.6344835530150875,0.27464661000920654,0.46438876,0.2816656104035965,0.5879009083420615
80,-0.034809858,0.9726188805234113,0.18445913273322556,0.6344835530150875,-1.064028,0.5879009083420615,0.05313141210965802
81,0.6210566,0.10412243004281395,0.5704474162852212,0.18445913273322556,0.17638257,0.05313141210965802,0.18856131937005047
82,0.4538953,0.36470637745866935,0.7200910549886207,0.5704474162852212,0.632615,0.18856131937005047,0.49202207604266673
83,0.060726732,0.9058749543932451,0.023130617365731847,0.7200910549886207,-1.3941393,0.49202207604266673,0.28091607718248446
84,0.48429683,0.3333679552182054,0.07997383731826195,0.023130617365731847,-1.392302,0.28091607718248446,0.6450989792375013
85,0.06036195,0.8688812721616034,0.20792305792958726,0.07997383731826195,-0.98475856,0.6450989792375013,0.018585448661490565
86,0.46295053,0.4454259988650218,0.539828536558701,0.20792305792958726,0.20022276,0.018585448661490565,0.058528570243932106
87,-0.15988633,0.9657961444942095,0.3627768017168015,0.539828536558701,-0.4064648,0.058528570243932106,0.12738781177858027
88,0.63998806,0.12915491250681943,0.8560866430019959,0.3627768017168015,1.1418285,0.12738781177858027,0.41000768410893046
89,0.40006536,0.43974634145817676,0.040471387677757396,0.8560866430019959,-1.1745727,0.41000768410893046,0.6656378294145432
90,0.050667435,0.9632462685443559,0.10700726785926301,0.040471387677757396,-1.2944396,0.6656378294145432,0.13292693707202152
91,0.62745935,0.13841691711864645,0.35926290736701455,0.10700726785926301,-0.5017318,0.13292693707202152,0.42301834876777855
