,r2,L
9,0.10176992019622844,1.0
10,0.11281324042487376,1.0
11,0.08558241690508561,1.0
12,0.09973176147267086,1.0
13,0.14582255294419805,1.0
14,0.10026571580640431,1.0
0,0.11718027115405184,1.7782794100389228
1,0.1369816531038721,1.7782794100389228
2,0.09841722881601812,1.7782794100389228
3,0.1163726517547257,1.7782794100389228
4,0.11959820050558462,1.7782794100389228
5,0.055064829071433126,1.7782794100389228
6,0.1386121260314289,1.7782794100389228
7,0.10775585793709565,1.7782794100389228
8,0.1744492782281144,1.7782794100389228
9,0.10959312526838076,1.7782794100389228
10,0.13455101719138735,1.7782794100389228
11,0.04640542445735245,1.7782794100389228
12,0.07290239514511652,1.7782794100389228
13,0.14008679259962917,1.7782794100389228
14,0.1131334824924933,1.7782794100389228
