,cc_pred,cc_valid,x_valid,x_past_valid,x_pred,Y_1_valid,Y_2_valid
33,1.2317016,1.3670878694136555,-0.47997552,0.5558298,-0.4416803,0.5847356,-0.54244024
34,2.453689,-1.534595704648452,1.3718388,-0.47997552,1.3467282,-0.54244024,1.2959576
35,2.3671513,-1.436348540601345,-0.70276845,1.3718388,-0.7506732,1.2959576,-0.4577451
36,2.1981623,-1.0663135341593073,0.93606263,-0.70276845,0.9294466,-0.4577451,1.2431093
37,1.607155,0.09248203087812838,-0.562153,0.93606263,-0.7658497,1.2431093,-1.5012966
38,1.2362682,1.3198338510760554,0.4153214,-0.562153,0.4240955,-1.5012966,-1.1690457
39,2.388116,-1.3501533497853002,1.3289198,0.4153214,1.3593582,-1.1690457,-0.0069525354
40,2.0532565,-0.763221454593261,-1.109161,1.3289198,-1.1423405,-0.0069525354,1.2961689
41,1.4647563,0.7650795113068588,-0.16689235,-1.109161,-0.17010128,1.2961689,-1.1066046
42,1.6066501,0.36245725807275603,0.8400727,-0.16689235,0.8437995,-1.1066046,-0.10059497
43,1.3499372,1.0828973110773936,-0.9879572,0.8400727,-0.97782314,-0.10059497,0.5207175
44,1.9657007,-0.5166171110863012,0.29653668,-0.9879572,0.29008186,0.5207175,0.71029747
45,1.3119738,1.1285675719619568,0.11785526,0.29653668,0.10796034,0.71029747,-0.6832854
46,2.037097,-0.6654427701695258,1.205065,0.11785526,1.2107543,-0.6832854,0.8588625
47,1.3904581,0.9289287010560129,-1.3094258,1.205065,-1.306813,0.8588625,-0.93425
48,1.7343727,-0.05654704255503825,-0.5404217,-1.3094258,-0.52944195,-0.93425,0.3134476
49,1.2291737,1.3659788681508198,0.41289833,-0.5404217,0.42103517,0.3134476,-0.034305375
50,2.4739685,-1.5301976692406973,1.4329731,0.41289833,1.4451531,-0.034305375,1.6402133
51,2.375972,-1.4192244094341677,-0.9245899,1.4329731,-0.935343,1.6402133,-1.6380323
52,1.9857653,-1.0044958388314533,0.52169734,-0.9245899,0.44263685,-1.6380323,-1.5577713
