,r2,L
11,0.03708236492996668,1.0
12,0.14477410704345547,1.0
13,0.14331855017579526,1.0
14,0.12559198908603492,1.0
0,0.15614235339377225,1.7782794100389228
1,0.10430154481159477,1.7782794100389228
2,0.1158117288175785,1.7782794100389228
3,0.09435898808666054,1.7782794100389228
4,0.1435477895293738,1.7782794100389228
5,0.0388183630363156,1.7782794100389228
6,0.13290428464236537,1.7782794100389228
7,0.07353504863176116,1.7782794100389228
8,0.10405412328285318,1.7782794100389228
9,0.11425357075661217,1.7782794100389228
10,0.10743138131419383,1.7782794100389228
11,0.07099178770968637,1.7782794100389228
12,0.06147461199275807,1.7782794100389228
13,0.13236777740663647,1.7782794100389228
14,0.09664941047811494,1.7782794100389228
